26,Verenigde Staten van Amerika,Catherine Coleman,15/12/2010
26,Italië,Paolo Nespoli,15/12/2010
27,Rusland,Dmitri Kondratyev,04/04/2011
27,Verenigde Staten van Amerika,Catherine Coleman,04/04/2011
27,Italië,Paolo Nespoli,04/04/2011
27,Rusland,Andrei Borisenko,04/04/2011
27,Rusland,Aleksandr Samokutyayev,04/04/2011
27,Verenigde Staten van Amerika,Ronald J. Garan Jr.,04/04/2011
28,Rusland,Andrei Borisenko,07/06/2011
28,Rusland,Aleksandr Samokutyayev,07/06/2011
28,Verenigde Staten van Amerika,Ronald J. Garan Jr.,07/06/2011
28,Verenigde Staten van Amerika,Michael E. Fossum,07/06/2011
28,Rusland,Sergey Volkov,07/06/2011
28,Japan,Satoshi Furukawa,07/06/2011
29,Verenigde Staten van Amerika,Michael E. Fossum,14/11/2011
29,Rusland,Sergey Volkov,14/11/2011
29,Japan,Satoshi Furukawa,14/11/2011
29,Verenigde Staten van Amerika,Daniel C. Burbank,14/11/2011
29,Rusland,Anton Shkaplerov,14/11/2011
29,Rusland,Anatoli Ivanishin,14/11/2011
30,Verenigde Staten van Amerika,Daniel C. Burbank,21/12/2011
30,Rusland,Anton Shkaplerov,21/12/2011
30,Rusland,Anatoli Ivanishin,21/12/2011
30,Rusland,Oleg Kononenko,21/12/2011
30,Verenigde Staten van Amerika,Donald Pettit,21/12/2011
30,Nederland,Andre Kuipers,21/12/2011
31,Rusland,Oleg Kononenko,15/05/2012
31,Verenigde Staten van Amerika,Donald Pettit,15/05/2012
31,Nederland,Andre Kuipers,15/05/2012
31,Rusland,Gennady Padalka,15/05/2012
31,Rusland,Sergei Revin,15/05/2012
31,Verenigde Staten van Amerika,Joseph M. Acaba,15/05/2012
32,Rusland,Gennady Padalka,15/07/2012
32,Rusland,Sergei Revin,15/07/2012
32,Verenigde Staten van Amerika,Joseph M. Acaba,15/07/2012
32,Verenigde Staten van Amerika,Sunita Williams,15/07/2012
32,Rusland,Yuri Malenchenko,15/07/2012
32,Japan,Akihiko Hoshide,15/07/2012
33,Verenigde Staten van Amerika,Sunita Williams,23/10/2012
33,Rusland,Yuri Malenchenko,23/10/2012
33,Japan,Akihiko Hoshide,23/10/2012
33,Verenigde Staten van Amerika,Kevin A. Ford,23/10/2012
33,Rusland,Oleg Novitsky,23/10/2012
33,Rusland,Evgeny Tarelkin,23/10/2012
34,Verenigde Staten van Amerika,Kevin A. Ford,19/12/2012
34,Rusland,Oleg Novitsky,19/12/2012
34,Rusland,Evgeny Tarelkin,19/12/2012
34,Canada,Chris Hadfield,19/12/2012
34,Rusland,Roman Romanenko,19/12/2012
34,Verenigde Staten van Amerika,Thomas Marshburn,19/12/2012
35,Canada,Chris Hadfield,28/03/2013
35,Rusland,Roman Romanenko,28/03/2013
35,Verenigde Staten van Amerika,Thomas Marshburn,28/03/2013
35,Rusland,Pavel Vinogradov,28/03/2013
35,Rusland,Alexander Misurkin,28/03/2013
35,Verenigde Staten van Amerika,Christopher Cassidy,28/03/2013
36,Rusland,Pavel Vinogradov,28/05/2013
36,Rusland,Alexander Misurkin,28/05/2013
36,Verenigde Staten van Amerika,Christopher Cassidy,28/05/2013
36,Rusland,Fyodor Yurchikhin,28/05/2013
36,Verenigde Staten van Amerika,Karen Nyberg,28/05/2013
36,Italië,Luca Parmitano,28/05/2013
37,Rusland,Fyodor Yurchikhin,25/09/2013
37,Verenigde Staten van Amerika,Karen Nyberg,25/09/2013
37,Italië,Luca Parmitano,25/09/2013
37,Rusland,Oleg Kotov,25/09/2013
37,Rusland,Sergey Ryazansky,25/09/2013
37,Verenigde Staten van Amerika,Michael S. Hopkins,25/09/2013
38,Rusland,Oleg Kotov,06/11/2013
38,Rusland,Sergey Ryazansky,06/11/2013
38,Verenigde Staten van Amerika,Michael S. Hopkins,06/11/2013
38,Japan,Koichi Wakata,06/11/2013
38,Rusland,Mikhail Tyurin,06/11/2013
38,Verenigde Staten van Amerika,Richard Mastracchio,06/11/2013
39,Japan,Koichi Wakata,25/03/2014
39,Rusland,Mikhail Tyurin,25/03/2014
39,Verenigde Staten van Amerika,Richard Mastracchio,25/03/2014
39,Rusland,Aleksandr Skvortsov,25/03/2014
39,Rusland,Oleg Artemyev,25/03/2014
39,Verenigde Staten van Amerika,Steven Swanson,25/03/2014
40,Verenigde Staten van Amerika,Steven Swanson,28/05/2014
40,Rusland,Aleksandr Skvortsov,28/05/2014
40,Rusland,Oleg Artemyev,28/05/2014
40,Verenigde Staten van Amerika,Gregory R. Wiseman,28/05/2014
40,Rusland,Maksim Surayev,28/05/2014
40,Duitsland,Alexander Gerst,28/05/2014
41,Rusland,Maksim Surayev,25/09/2014
41,Verenigde Staten van Amerika,Gregory R. Wiseman,25/09/2014
41,Duitsland,Alexander Gerst,25/09/2014
41,Rusland,Aleksandr Samokutyayev,25/09/2014
41,Rusland,Yelena Serova,25/09/2014
41,Verenigde Staten van Amerika,Barry E. Wilmore,25/09/2014
42,Verenigde Staten van Amerika,Barry E. Wilmore,23/11/2014
42,Rusland,Aleksandr Samokutyayev,23/11/2014
42,Rusland,Yelena Serova,23/11/2014
42,Rusland,Anton Shkaplerov,23/11/2014
42,Italië,Samantha Cristoforetti,23/11/2014
42,Verenigde Staten van Amerika,Terry W. Virts,23/11/2014
43,Verenigde Staten van Amerika,Terry W. Virts,27/03/2015
43,Rusland,Anton Shkaplerov,27/03/2015
43,Italië,Samantha Cristoforetti,27/03/2015
43,Rusland,Gennady Padalka,27/03/2015
43,Rusland,Mikhail Kornienko,27/03/2015
43,Verenigde Staten van Amerika,Scott Kelly,27/03/2015
44,Rusland,Gennady Padalka,22/07/2015
44,Rusland,Mikhail Kornienko,22/07/2015
44,Verenigde Staten van Amerika,Scott Kelly,22/07/2015
44,Rusland,Oleg Kononenko,22/07/2015
44,Japan,Kimiya Yui,22/07/2015
44,Verenigde Staten van Amerika,Kjell N. Lindgren,22/07/2015
45,Verenigde Staten van Amerika,Scott Kelly,02/09/2015
45,Rusland,Mikhail Kornienko,02/09/2015
45,Rusland,Oleg Kononenko,02/09/2015
45,Japan,Kimiya Yui,02/09/2015
45,Verenigde Staten van Amerika,Kjell N. Lindgren,02/09/2015
45,Rusland,Sergey Volkov,02/09/2015
46,Verenigde Staten van Amerika,Scott Kelly,15/12/2015
46,Rusland,Mikhail Kornienko,15/12/2015
46,Rusland,Sergey Volkov,15/12/2015
46,Rusland,Yuri Malenchenko,15/12/2015
46,Verenigd Koninkrijk,Tim Peake,15/12/2015
46,Verenigde Staten van Amerika,Timothy Kopra,15/12/2015
47,Verenigde Staten van Amerika,Timothy Kopra,18/03/2016
47,Verenigd Koninkrijk,Tim Peake,18/03/2016
47,Rusland,Yuri Malenchenko,18/03/2016
47,Rusland,Aleksey Ovchinin,18/03/2016
47,Rusland,Oleg Skripochka,18/03/2016
47,Verenigde Staten van Amerika,Jeffrey Williams,18/03/2016
48,Verenigde Staten van Amerika,Jeffrey Williams,07/07/2016
48,Rusland,Oleg Skripochka,07/07/2016
48,Rusland,Aleksey Ovchinin,07/07/2016
48,Rusland,Anatoli Ivanishin,07/07/2016
48,Japan,Takuya Onishi,07/07/2016
48,Verenigde Staten van Amerika,Kathleen Rubins,07/07/2016
49,Rusland,Anatoli Ivanishin,19/10/2016
49,Japan,Takuya Onishi,19/10/2016
49,Verenigde Staten van Amerika,Kathleen Rubins,19/10/2016
49,Verenigde Staten van Amerika,Shane Kimbrough,19/10/2016
49,Rusland,Andrei Borisenko,19/10/2016
49,Rusland,Sergey Ryzhikov,19/10/2016
50,Verenigde Staten van Amerika,Shane Kimbrough,17/11/2016
50,Rusland,Andrei Borisenko,17/11/2016
50,Rusland,Sergey Ryzhikov,17/11/2016
50,Verenigde Staten van Amerika,Peggy Whitson,17/11/2016
50,Rusland,Oleg Novitskiy,17/11/2016
50,Frankrijk,Thomas Pesquet,17/11/2016
51,Rusland,Oleg Novitsky,20/04/2017
51,Frankrijk,Thomas Pesquet,20/04/2017
51,Verenigde Staten van Amerika,Peggy Whitson,20/04/2017
51,Rusland,Fyodor Yurchikhin,20/04/2017
51,Verenigde Staten van Amerika,Jack D. Fischer,20/04/2017
52,Rusland,Fyodor Yurchikhin,28/07/2017
52,Verenigde Staten van Amerika,Jack D. Fischer,28/07/2017
52,Verenigde Staten van Amerika,Peggy Whitson,28/07/2017
52,Verenigde Staten van Amerika,Randolph Bresnik,28/07/2017
52,Italië,Paolo Nespoli,28/07/2017
52,Rusland,Sergey Ryazansky,28/07/2017
53,Verenigde Staten van Amerika,Randolph Bresnik,12/09/2017
53,Italië,Paolo Nespoli,12/09/2017
53,Rusland,Sergey Ryazansky,12/09/2017
53,Rusland,Alexander Misurkin,12/09/2017
53,Verenigde Staten van Amerika,Mark T. Vande Hei,12/09/2017
53,Verenigde Staten van Amerika,Joseph M. Acaba,12/09/2017
54,Rusland,Alexander Misurkin,17/12/2017
54,Verenigde Staten van Amerika,Mark T. Vande Hei,17/12/2017
54,Verenigde Staten van Amerika,Joseph M. Acaba,17/12/2017
54,Rusland,Anton Shkaplerov,17/12/2017
54,Verenigde Staten van Amerika,Scott D. Tingle,17/12/2017
54,Japan,Norishige Kanai,17/12/2017
55,Rusland,Anton Shkaplerov,21/03/2018
55,Verenigde Staten van Amerika,Scott D. Tingle,21/03/2018
55,Japan,Norishige Kanai,21/03/2018
55,Verenigde Staten van Amerika,Andrew J. Feustel,21/03/2018
55,Rusland,Oleg Artemyev,21/03/2018
55,Verenigde Staten van Amerika,Richard R. Arnold,21/03/2018
56,Verenigde Staten van Amerika,Andrew J. Feustel,06/06/2018
56,Rusland,Oleg Artemyev,06/06/2018
56,Verenigde Staten van Amerika,Richard R. Arnold,06/06/2018
56,Duitsland,Alexander Gerst,06/06/2018
56,Rusland,Sergey Prokopyev,06/06/2018
56,Verenigde Staten van Amerika,Serena Aunon-Chancellor,06/06/2018
57,Duitsland,Alexander Gerst,03/12/2018
57,Rusland,Sergey Prokopyev,03/12/2018
57,Verenigde Staten van Amerika,Serena Aunon-Chancellor,03/12/2018
57,Rusland,Oleg Kononenko,03/12/2018
57,Canada,David Saint-Jacques,03/12/2018
57,Verenigde Staten van Amerika,Anne McClain,03/12/2018
58,Rusland,Oleg Kononenko,14/03/2019
58,Canada,David Saint-Jacques,14/03/2019
58,Verenigde Staten van Amerika,Anne McClain,14/03/2019
59,Rusland,Oleg Kononenko,14/03/2019
59,Canada,David Saint-Jacques,14/03/2019
