2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2010,3,31,Eyjafjallajokull,Iceland-S,IJsland,63.63,-19.62,1666,Stratovolcano,Historical
2010,5,27,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical
2010,5,29,Sarigan,Mariana Is-C Pacific,Verenigde Staten,16.708,145.78,538,Stratovolcano,Holocene
2010,8,6,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesië,2.78,125.48,1784,Stratovolcano,Historical
2010,8,30,Sinabung,Sumatra,Indonesië,3.17,98.392,2460,Stratovolcano,Holocene
2010,10,26,Merapi,Java,Indonesië,-7.542,110.442,2947,Stratovolcano,Historical
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2010,12,28,Tengger Caldera,Java,Indonesië,-7.942,112.95,2329,Stratovolcano,Historical
2011,1,3,Merapi,Java,Indonesië,-7.542,110.442,2947,Stratovolcano,Historical
2011,1,28,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical
2011,2,23,Bulusan,Luzon-Philippines,Filippijnen,12.77,124.05,1565,Stratovolcano,Historical
2011,3,18,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesië,2.78,125.48,1784,Stratovolcano,Historical
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2011,6,4,Puyehue,Chile-C,Chili,-40.59,-72.117,2236,Stratovolcano,Holocene
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,Holocene
2011,7,9,Katla,Iceland-S,IJsland,63.63,-19.05,1512,Subglacial volcano,Historical
2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesië,1.358,124.792,1580,Stratovolcano,Historical
2011,12,27,Gamalama,Halmahera-Indonesia,Indonesië,0.8,127.325,1715,Stratovolcano,Historical
2012,2,10,Kilauea,Hawaiian Is,Verenigde Staten,19.425,-155.292,1222,Shield volcano,Historical
2012,3,2,Kilauea,Hawaiian Is,Verenigde Staten,19.425,-155.292,1222,Shield volcano,Historical
2012,12,12,Tolbachik,Kamchatka,Rusland,55.83,160.33,3682,Shield volcano,Historical
