"Terrier tibétain","Non Sporting","1600","62","101"
"Braque de Weimar","Sporting","1750","21","34"
"Corgi gallois","Herding","1100","26","68"
"Cardigan","Herding","1100","26","68"
"Pembroke","Herding","1100","26","68"
"Épagneul springer gallois","Sporting","1300","31","133"
"Terrier gallois","Terrier","1000","53","109"
"West Highland White Terrier Westie","Terrier","1050","47","42"
"Terrier irlandais","Terrier","900","40","49"
"Whippet","Hound","1000","51","61"
"Berger allemand blanc","Herding","1400","3","2"
"Fox Terrier à poil filaire","Terrier","900","51","99"
"Griffon à poils durs","Sporting","700","46","65"
"Terrier à poil dur","Terrier","900","51","99"
"Labrador Retriever jaune","Sporting","1500","7","1"
"Yorkshire Terrier Yorkie","Toy","800","27","9"
